"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H5,H2,H1,H3,H4";"MountingHole_3.2mm_M3_DIN965_Pad";5;"MountingHole_Pad";;;
2;"C29";"CP_Elec_6.3x7.7";1;"470uF";;;
3;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"W25Q16JVSNIQ";;;
4;"R20,R17,R21,R22";"R_0402_1005Metric";4;"3.3";;;
5;"NT4,NT11,NT3,NT14,NT9,NT8,NT6,NT5,NT7,NT1,NT13,NT15,NT10,NT12,NT2";"NetTie-2_SMD_Pad0.5mm";15;"NetTie_2";;;
6;"R23,R15,R16,R24";"R_0402_1005Metric";4;"49.9";;;
7;"C5,C9,C18,C12,C49,C48,C50,C44,C45,C7,C11,C51,C14,C25,C15,C47,C4,C46,C10,C23,C13,C8,C43";"C_0402_1005Metric";23;"0.1uF";;;
8;"R6,R38,R7,R36,R4,R42,R33,R40";"R_0402_1005Metric";8;"1k";;;
9;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
10;"C32,C39,C38,C31";"C_0402_1005Metric";4;"100nF";;;
11;"C40,C37";"C_0402_1005Metric";2;"1nF";;;
12;"J11,J13,J12,J9,J10";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";5;"B2B-XH-A";;;
13;"R28";"R_0402_1005Metric";1;"0";;;
14;"Q3,Q2";"TO-263-7_TabPin8";2;"BTN8962TA";;;
15;"R8,R1";"R_0402_1005Metric";2;"100k";;;
16;"C2,C6,C3,C42,C1";"C_0402_1005Metric";5;"1uF";;;
17;"C36,C34,C33,C35";"C_0603_1608Metric";4;"220nF";;;
18;"L1";"L_0603_1608Metric";1;"600mA";;;
19;"J5,J7,J6,J4";"CUI_SJ1-3534";4;"SJ1-3534";;;
20;"P1";"MOLEX_47346-0001";1;"47346-0001";;;
21;"SW1,SW2";"SW_TS-1187A-B-A-B";2;"SW_Push";;;
22;"C30";"C_0603_1608Metric";1;"10uF";;;
23;"R25,R19,R44";"R_0402_1005Metric";3;"470";;;
24;"C16,C17";"C_0402_1005Metric";2;"15pF";;;
25;"U1";"SOT-23-5";1;"LM8805SF5-3.3";;;
26;"RV1";"500Eâˆ’0076";1;"500E-0076";;;
27;"C41";"C_0402_1005Metric";1;"100pF";;;
28;"R18,R14";"R_0402_1005Metric";2;"4.7k";;;
29;"C21,C22";"C_0402_1005Metric";2;"6.8nF";;;
30;"D3,D1";"D_SOD-323";2;"BAT60A";;;
31;"R29,R31";"R_0402_1005Metric";2;"100";;;
32;"R27";"R_0402_1005Metric";1;"1M";;;
33;"C28";"C_0603_1608Metric";1;"22uF";;;
34;"R2";"R_0402_1005Metric";1;"5.6k";;;
35;"R39,R43,R37,R41,R3,R32,R30";"R_0402_1005Metric";7;"10k";;;
36;"C20";"C_0402_1005Metric";1;"22nF";;;
37;"J8";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"B3B-XH-A";;;
38;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
39;"Q1";"SOT-23";1;"2N7002";;;
40;"R9,R10";"R_0603_1608Metric";2;"27";;;
41;"BZ1";"AI-3035-TWT-3V-R";1;"Buzzer";;;
42;"U3";"RP2040";1;"RP2040";;;
43;"R5";"R_0402_1005Metric";1;"200k";;;
44;"U9";"SOP-8_6.62x9.15mm_P2.54mm";1;"TLP521-2";;;
45;"D2";"D_SOD-323";1;"1N5819WS";;;
46;"P2";"J1B1211CCD";1;"RJ45_LED_Shielded";;;
47;"R35,R34";"R_0402_1005Metric";2;"0.51k";;;
48;"U10";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"SN74AHC244PWR";;;
49;"PS1";"CONV_P78E05-1000";1;"P78E05-1000";;;
50;"R26";"R_0402_1005Metric";1;"12.4k/1%";;;
51;"R12";"R_0402_1005Metric";1;"1";;;
52;"C24";"C_0402_1005Metric";1;"4.7uF";;;
53;"C26,C27";"C_0402_1005Metric";2;"18pF";;;
54;"C19";"C_1812_4532Metric";1;"1nF/22kV";;;
55;"F1";"Keystone 3522-2 Fuse Holder";1;"Fuse";;;
56;"R11";"R_0402_1005Metric";1;"200";;;
57;"R13";"R_0402_1005Metric";1;"10R/1%";;;
58;"U4";"LQFP-48-1EP_7x7mm_P0.5mm_EP3.6x3.6mm";1;"W5500";;;
59;"Y2";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"C700768";;;
60;"J14";"54601908WPLF";1;"54601-908WPLF";;;
